Index,Image,wangtao,zzc,wangtao2,zzc2,MOS
31,movie_0023.jpg,2.7,3.0,3.2,2.1,2.75
32,game_1867.jpg,3.0,2.1,2.5,1.8,2.35
33,movie_1843.jpg,0.7,1.6,1.2,2.0,1.38
34,game_0600.jpg,2.2,1.3,1.1,1.1,1.42
35,game_2012.jpg,2.3,2.3,2.8,1.7,2.28
36,movie_0755.jpg,3.3,2.3,3.3,1.9,2.7
37,movie_0666.jpg,0.7,1.9,1.6,1.4,1.4
38,game_0122.jpg,1.8,1.7,1.7,1.3,1.62
39,movie_0497.jpg,2.3,1.8,3.0,1.6,2.17
40,game_0798.jpg,3.5,3.3,3.8,3.1,3.42
41,game_0437.jpg,1.2,0.7,1.7,1.3,1.22
42,game_2732.jpg,1.3,3.3,2.3,2.7,2.4
43,movie_1730.jpg,2.8,3.4,3.1,2.0,2.82
44,game_1253.jpg,2.2,3.3,2.6,2.0,2.52
45,game_0499.jpg,2.1,1.7,1.9,1.6,1.82
46,movie_0301.jpg,2.3,2.6,2.2,2.4,2.38
47,game_2733.jpg,3.9,4.6,3.5,4.4,4.1
48,movie_2928.jpg,4.7,3.9,4.2,4.2,4.25
49,movie_0812.jpg,3.7,4.1,4.1,2.8,3.68
50,movie_0341.jpg,1.2,3.5,2.7,1.6,2.25
51,game_1920.jpg,2.8,3.5,2.2,1.6,2.52
52,movie_0848.jpg,2.6,3.6,3.5,1.6,2.82
53,movie_2739.jpg,4.7,4.1,4.5,1.6,3.72
54,game_0947.jpg,3.1,1.9,2.3,1.6,2.22
55,game_2528.jpg,3.2,2.6,2.7,1.6,2.52
56,movie_1981.jpg,2.6,2.2,2.7,1.4,2.22
57,game_2335.jpg,2.0,2.1,2.0,1.4,1.88
58,movie_1711.jpg,3.2,2.9,3.6,1.4,2.78
59,game_1810.jpg,2.3,1.7,1.7,1.4,1.78
60,movie_0148.jpg,1.2,0.8,2.1,1.4,1.38
61,game_2538.jpg,1.1,0.9,2.1,1.4,1.38
62,movie_1830.jpg,0.9,0.6,2.5,1.4,1.35
63,game_1991.jpg,0.7,1.2,1.7,1.4,1.25
64,game_2649.jpg,2.8,2.7,2.8,1.4,2.43
65,movie_0869.jpg,3.8,1.7,3.2,1.4,2.52
66,movie_2057.jpg,3.0,1.9,3.4,2.1,2.6
67,game_0269.jpg,0.6,1.2,2.3,1.1,1.3
68,movie_1331.jpg,2.7,2.8,2.3,1.9,2.42
69,movie_2744.jpg,4.7,4.2,4.4,4.2,4.38
70,movie_2347.jpg,3.7,4.2,3.8,2.8,3.62
71,game_2047.jpg,2.8,2.2,2.2,1.9,2.28
72,game_2864.jpg,2.7,2.2,3.1,2.9,2.72
73,movie_1430.jpg,1.4,1.2,2.7,2.1,1.85
74,movie_0303.jpg,3.8,3.6,3.3,3.5,3.55
75,game_2441.jpg,2.7,0.4,1.8,1.5,1.6
76,movie_0266.jpg,2.3,2.7,3.0,2.7,2.68
77,movie_2029.jpg,3.1,3.6,3.2,3.3,3.3
78,movie_1896.jpg,3.1,2.5,3.2,2.4,2.8
79,movie_0269.jpg,2.4,2.0,2.1,1.5,2.0
80,game_1611.jpg,2.6,2.2,2.6,1.4,2.2
81,game_0152.jpg,1.3,1.5,1.4,1.0,1.3
82,game_0686.jpg,0.8,1.4,2.1,1.4,1.43
83,movie_2191.jpg,2.7,2.6,2.8,2.4,2.63
84,game_1149.jpg,2.7,2.3,2.0,1.4,2.1
85,movie_0313.jpg,3.7,1.9,3.6,2.6,2.95
86,movie_0712.jpg,2.7,3.3,3.5,3.1,3.15
87,movie_2019.jpg,3.2,2.9,3.0,2.0,2.78
88,movie_2360.jpg,2.1,3.2,2.8,1.9,2.5
89,game_2008.jpg,3.3,3.3,3.6,2.2,3.1
90,game_1434.jpg,2.6,2.8,2.3,2.4,2.52
91,game_2902.jpg,2.8,2.6,2.7,2.0,2.53
92,game_2411.jpg,2.4,1.4,3.1,1.4,2.08
93,movie_2450.jpg,3.3,2.8,3.5,2.9,3.12
94,movie_2822.jpg,4.7,4.1,4.3,4.0,4.28
95,game_2620.jpg,2.8,3.7,2.8,2.6,2.98
96,game_2802.jpg,2.0,3.2,2.3,2.3,2.45
97,movie_0119.jpg,3.1,3.2,3.6,2.7,3.15
98,game_2389.jpg,1.8,1.8,1.7,1.6,1.72
99,game_0539.jpg,1.7,1.4,2.8,1.3,1.8
100,movie_2330.jpg,1.3,1.3,2.2,1.7,1.63
101,movie_0930.jpg,4.2,4.4,3.6,3.4,3.9
102,movie_0178.jpg,2.6,1.7,2.7,1.9,2.22
103,movie_0871.jpg,2.7,1.8,2.9,2.3,2.42
104,game_1860.jpg,1.8,1.9,3.0,2.2,2.22
105,game_1314.jpg,0.9,0.9,1.3,1.0,1.02
106,movie_2172.jpg,2.1,2.6,3.2,3.0,2.72
107,movie_2269.jpg,2.2,3.4,2.8,3.3,2.92
108,game_2150.jpg,3.2,2.6,3.1,2.1,2.75
109,game_1826.jpg,1.3,1.7,1.1,1.3,1.35
110,game_1223.jpg,1.8,3.0,2.2,1.8,2.2
111,game_2100.jpg,3.3,2.1,3.2,2.1,2.68
112,game_1776.jpg,2.2,2.9,3.5,3.0,2.9
113,movie_2362.jpg,1.8,2.3,3.0,2.3,2.35
114,movie_0248.jpg,2.4,2.1,2.8,1.7,2.25
115,game_1177.jpg,1.7,2.2,1.7,1.3,1.72
116,movie_2085.jpg,2.8,2.3,3.2,1.9,2.55
117,movie_2895.jpg,3.1,1.6,3.8,2.3,2.7
118,movie_1282.jpg,2.2,2.8,2.9,2.0,2.48
119,game_1732.jpg,1.9,1.8,2.2,1.5,1.85
120,game_0866.jpg,2.2,1.4,2.9,1.7,2.05
121,movie_1796.jpg,3.1,3.1,3.5,3.1,3.2
122,movie_2578.jpg,3.1,2.8,3.7,2.7,3.08
123,movie_0012.jpg,2.9,2.2,3.5,2.1,2.68
124,game_1043.jpg,1.4,1.9,2.1,2.0,1.85
125,game_0804.jpg,1.3,1.8,2.8,1.6,1.88
126,game_1383.jpg,2.7,2.8,3.0,2.2,2.68
127,game_0760.jpg,0.6,1.4,0.9,1.3,1.05
128,movie_2144.jpg,1.1,1.8,2.1,1.4,1.6
129,game_1771.jpg,1.4,2.0,1.7,1.2,1.58
130,movie_0245.jpg,2.8,2.7,3.2,2.0,2.68
131,game_0936.jpg,2.3,2.8,3.6,2.7,2.85
132,game_0704.jpg,2.8,2.3,3.2,2.7,2.75
133,movie_2716.jpg,2.4,3.1,4.4,3.3,3.3
134,game_2318.jpg,0.3,0.9,0.8,1.1,0.78
135,game_1935.jpg,2.9,3.6,3.2,3.1,3.2
136,movie_0776.jpg,2.6,2.7,3.1,2.3,2.68
137,movie_2074.jpg,3.0,1.9,3.7,2.8,2.85
138,movie_1546.jpg,3.3,3.4,3.5,3.2,3.35
139,game_2274.jpg,2.7,1.8,2.6,1.4,2.12
140,movie_1168.jpg,3.2,2.3,3.2,1.5,2.55
141,game_1446.jpg,0.8,1.3,1.5,1.0,1.15
142,game_1800.jpg,2.7,3.2,3.4,3.1,3.1
143,movie_1312.jpg,3.0,2.7,3.3,2.8,2.95
144,game_1908.jpg,0.9,1.9,0.7,0.9,1.1
145,game_0258.jpg,3.2,2.8,3.7,2.1,2.95
146,game_1534.jpg,0.2,0.8,0.4,0.9,0.57
147,game_1504.jpg,0.3,0.8,0.3,0.5,0.48
148,movie_2937.jpg,3.1,3.2,4.1,2.3,3.18
149,movie_0561.jpg,0.4,1.9,2.1,2.0,1.6
150,game_1367.jpg,1.9,2.7,3.2,2.1,2.48
151,game_1076.jpg,2.7,2.9,3.3,2.0,2.72
152,movie_2865.jpg,4.3,3.7,4.4,3.3,3.92
153,game_2974.jpg,3.1,2.3,3.5,2.8,2.92
154,game_2136.jpg,0.7,2.9,2.3,2.0,1.98
155,movie_0815.jpg,2.9,3.5,3.1,2.1,2.9
156,movie_2737.jpg,4.1,3.3,4.4,4.2,4.0
157,game_1224.jpg,1.7,2.9,2.2,2.1,2.22
158,game_2342.jpg,2.9,2.6,3.1,2.7,2.82
159,movie_2752.jpg,3.8,2.7,4.3,3.3,3.53
160,game_2654.jpg,2.8,2.4,2.9,2.2,2.58
161,game_1155.jpg,2.5,2.6,3.2,2.8,2.78
162,game_2238.jpg,2.8,2.5,3.0,1.8,2.53
163,movie_0796.jpg,1.8,2.3,3.1,1.9,2.28
164,movie_0953.jpg,3.3,2.3,3.3,1.8,2.68
165,movie_1293.jpg,3.1,3.0,4.0,3.5,3.4
166,game_2455.jpg,3.0,3.1,3.2,3.0,3.08
167,game_1967.jpg,3.2,2.3,3.0,3.4,2.98
168,movie_0105.jpg,2.8,2.8,3.7,3.7,3.25
169,game_2282.jpg,2.2,1.4,2.2,1.7,1.88
170,movie_2468.jpg,4.3,3.9,4.1,3.5,3.95
171,game_2882.jpg,0.8,1.4,1.3,1.1,1.15
172,movie_2365.jpg,3.1,3.0,4.0,3.2,3.32
173,game_2172.jpg,1.3,1.5,1.3,1.3,1.35
174,game_0199.jpg,1.8,1.5,1.9,2.0,1.8
175,movie_0507.jpg,3.6,3.1,3.8,2.4,3.22
176,movie_1142.jpg,1.9,3.1,2.3,1.8,2.28
177,movie_2148.jpg,3.4,2.6,3.2,2.0,2.8
178,movie_1704.jpg,0.8,1.8,2.9,2.2,1.92
179,movie_0414.jpg,2.6,1.4,3.3,1.9,2.3
180,movie_0249.jpg,2.6,2.3,2.9,2.0,2.45
181,movie_0993.jpg,3.3,2.1,3.5,1.9,2.7
182,game_2801.jpg,2.2,1.6,2.1,1.3,1.8
183,game_0260.jpg,1.8,1.0,1.1,0.9,1.2
184,game_2040.jpg,2.5,1.4,1.7,1.3,1.72
185,movie_0883.jpg,2.2,1.6,2.1,1.7,1.9
186,game_0736.jpg,1.4,1.4,1.7,1.3,1.45
187,game_2952.jpg,2.8,2.2,3.3,1.5,2.45
188,game_0054.jpg,0.3,0.3,0.3,0.1,0.25
189,movie_2596.jpg,3.7,2.8,4.3,2.8,3.4
190,game_0379.jpg,2.8,2.1,2.9,2.7,2.62
191,game_0635.jpg,2.3,0.9,2.8,2.2,2.05
192,game_1739.jpg,2.2,0.9,2.5,1.9,1.88
193,movie_2823.jpg,3.7,0.9,4.3,3.7,3.15
194,game_0019.jpg,2.5,0.9,2.2,1.2,1.7
195,game_0938.jpg,2.2,1.4,1.8,0.8,1.55
196,movie_2681.jpg,3.8,0.9,4.4,3.1,3.05
197,movie_0941.jpg,2.2,0.9,2.8,2.9,2.2
198,game_0780.jpg,2.7,0.9,3.0,1.8,2.1
199,game_0491.jpg,1.0,1.3,0.7,1.3,1.08
200,game_1894.jpg,2.5,0.9,1.8,1.5,1.68
201,game_0181.jpg,0.8,0.9,1.1,1.2,1.0
202,game_2490.jpg,2.9,2.8,3.2,2.9,2.95
203,movie_0973.jpg,2.7,0.9,3.0,2.1,2.17
204,movie_0159.jpg,2.9,0.9,3.6,3.3,2.68
205,game_2196.jpg,1.2,0.9,2.9,1.8,1.7
206,game_0770.jpg,1.3,0.9,2.6,1.1,1.48
207,game_1857.jpg,1.2,0.9,2.2,1.3,1.4
208,game_0005.jpg,0.8,0.9,1.6,0.8,1.03
209,game_0941.jpg,3.2,2.8,3.0,3.0,3.0
210,game_2190.jpg,1.9,2.8,1.9,2.2,2.2
211,movie_2846.jpg,3.7,0.9,4.5,3.8,3.23
212,movie_0585.jpg,2.6,0.9,3.1,3.1,2.42
213,game_2219.jpg,2.8,0.9,2.7,1.4,1.95
214,movie_0180.jpg,2.2,0.9,2.3,1.6,1.75
215,movie_2569.jpg,4.0,3.0,3.9,2.7,3.4
216,movie_1068.jpg,2.5,0.9,2.7,1.3,1.85
217,game_0424.jpg,1.2,1.3,1.1,1.3,1.23
218,game_0863.jpg,2.9,1.6,2.8,1.3,2.15
219,game_2516.jpg,1.8,1.3,2.1,1.1,1.58
220,game_0937.jpg,1.5,2.4,1.8,1.2,1.72
221,game_2800.jpg,2.9,1.9,2.7,1.5,2.25
222,game_1928.jpg,2.7,3.1,3.0,2.9,2.92
223,game_0609.jpg,2.0,2.8,1.3,2.0,2.02
224,movie_1805.jpg,3.2,2.7,3.2,3.0,3.03
225,game_0604.jpg,2.3,1.4,1.6,1.5,1.7
226,game_1389.jpg,2.9,3.0,3.6,2.0,2.88
227,game_1458.jpg,0.8,0.9,0.8,1.3,0.95
228,movie_2398.jpg,2.6,2.6,2.1,1.2,2.12
229,movie_2645.jpg,4.3,3.8,4.0,3.6,3.92
230,game_0611.jpg,3.7,3.0,3.4,3.1,3.3
231,movie_2519.jpg,2.8,2.7,3.2,2.9,2.9
232,movie_1088.jpg,3.2,2.7,3.6,2.9,3.1
233,movie_1054.jpg,2.5,2.8,3.7,2.2,2.8
234,movie_1386.jpg,2.4,1.9,2.9,1.4,2.15
235,game_0014.jpg,2.8,1.9,2.8,2.9,2.6
236,movie_1000.jpg,0.8,0.9,1.3,1.8,1.2
237,game_0401.jpg,0.3,0.5,1.0,1.0,0.7
238,game_0291.jpg,2.3,1.5,1.8,1.4,1.75
239,movie_0513.jpg,3.4,2.9,3.3,2.9,3.12
240,movie_1355.jpg,1.8,0.8,2.7,1.4,1.68
241,movie_1940.jpg,2.6,2.7,3.3,2.0,2.65
242,movie_2950.jpg,3.1,2.6,3.5,2.0,2.8
243,movie_1828.jpg,3.2,3.1,3.5,2.8,3.15
244,movie_1002.jpg,2.8,2.2,3.0,2.0,2.5
245,game_2783.jpg,3.6,3.6,3.6,2.8,3.4
246,movie_2694.jpg,3.2,3.7,4.2,3.7,3.7
247,movie_2251.jpg,3.3,2.2,3.5,3.1,3.02
248,game_1221.jpg,1.6,1.9,0.8,0.8,1.27
249,game_1239.jpg,2.5,1.4,1.8,1.0,1.68
250,game_0892.jpg,2.6,2.6,2.7,1.4,2.33
251,movie_1764.jpg,2.2,1.8,1.3,1.4,1.67
252,movie_2395.jpg,3.6,2.3,3.6,3.0,3.12
253,game_2615.jpg,1.2,2.0,3.1,2.2,2.12
254,game_2067.jpg,1.8,2.8,2.7,2.3,2.4
255,movie_0213.jpg,1.8,2.4,3.0,1.7,2.22
256,game_2685.jpg,2.2,1.7,2.8,1.3,2.0
257,movie_0345.jpg,2.9,3.5,3.6,3.4,3.35
258,game_1365.jpg,0.7,0.7,1.2,0.8,0.85
259,game_0355.jpg,0.3,0.4,0.8,0.8,0.57
260,movie_1433.jpg,2.2,1.9,2.8,3.1,2.5
261,game_2679.jpg,0.7,1.0,0.7,1.4,0.95
262,game_2058.jpg,1.2,1.8,1.7,1.4,1.52
263,movie_2643.jpg,4.1,3.4,4.2,3.5,3.8
264,game_1700.jpg,3.1,1.6,2.2,1.6,2.12
265,game_0042.jpg,2.8,2.4,2.8,1.7,2.42
266,game_1784.jpg,2.4,2.9,2.7,1.4,2.35
267,game_0399.jpg,2.2,1.7,1.3,1.2,1.6
268,game_0548.jpg,1.8,2.0,1.8,2.3,1.98
269,movie_0991.jpg,1.7,2.3,1.7,1.5,1.8
270,movie_2332.jpg,1.9,2.3,2.8,1.9,2.22
271,game_2130.jpg,2.2,1.4,1.7,1.2,1.62
272,game_0724.jpg,2.5,2.7,2.8,2.0,2.5
273,game_1837.jpg,2.2,2.1,2.8,1.6,2.18
274,game_0415.jpg,0.2,0.7,0.9,0.8,0.65
275,game_2809.jpg,0.5,1.0,1.3,0.8,0.9
276,movie_0346.jpg,2.9,3.1,3.6,2.6,3.05
277,game_2018.jpg,2.6,1.9,2.2,1.7,2.1
278,game_0161.jpg,0.3,0.8,1.2,0.9,0.8
279,movie_0763.jpg,2.6,2.7,3.2,1.7,2.55
280,movie_0633.jpg,1.2,1.9,2.2,1.4,1.67
281,movie_2298.jpg,3.4,3.8,3.8,3.8,3.7
282,game_0755.jpg,2.3,1.4,1.6,1.5,1.7
283,game_0813.jpg,1.8,1.7,1.8,1.2,1.62
284,movie_1464.jpg,1.7,2.2,2.7,1.0,1.9
285,game_0726.jpg,2.6,3.1,2.8,2.1,2.65
286,game_0026.jpg,3.0,2.4,3.4,1.9,2.68
287,movie_2208.jpg,1.8,2.2,2.2,1.7,1.98
288,movie_0286.jpg,1.8,1.7,3.2,1.8,2.12
289,movie_0363.jpg,1.7,2.0,2.9,2.1,2.17
290,movie_1014.jpg,2.7,3.1,3.4,3.6,3.2
291,movie_0192.jpg,1.9,2.6,3.0,1.4,2.22
292,game_1289.jpg,1.7,1.4,2.2,2.5,1.95
293,movie_0433.jpg,2.3,1.3,2.7,2.0,2.08
294,game_2329.jpg,1.1,1.3,1.7,1.2,1.33
295,game_1877.jpg,3.8,3.2,4.1,3.3,3.6
296,movie_0937.jpg,2.2,2.2,3.3,2.0,2.42
297,game_0944.jpg,2.1,2.1,2.8,2.0,2.25
298,movie_0071.jpg,2.9,3.2,3.3,3.3,3.18
299,movie_0775.jpg,1.7,2.4,3.5,1.9,2.38
300,movie_1671.jpg,2.5,2.9,3.8,3.6,3.2
301,game_1681.jpg,2.6,1.6,2.6,1.4,2.05
302,game_0872.jpg,1.0,0.6,0.9,1.2,0.92
303,movie_2955.jpg,4.3,3.9,4.2,3.9,4.07
304,game_1047.jpg,4.0,3.8,3.9,2.3,3.5
305,game_2669.jpg,2.7,4.3,3.6,2.9,3.38
306,game_1000.jpg,0.2,0.9,1.2,1.1,0.85
307,game_0049.jpg,0.8,1.9,1.3,1.4,1.35
308,movie_1578.jpg,2.2,1.6,3.2,1.3,2.08
309,movie_1876.jpg,1.8,2.4,2.7,1.0,1.98
310,game_2672.jpg,1.1,0.9,1.2,0.9,1.03
311,movie_1916.jpg,2.5,2.7,3.8,2.7,2.92
312,game_1955.jpg,2.5,1.7,2.8,1.4,2.1
313,movie_1585.jpg,3.1,2.9,3.5,2.3,2.95
314,game_1668.jpg,2.1,1.4,2.2,1.6,1.83
315,movie_0874.jpg,2.7,3.0,3.2,2.3,2.8
316,movie_0900.jpg,3.1,2.2,2.9,1.7,2.48
317,movie_1863.jpg,2.7,2.1,3.2,1.8,2.45
318,game_1334.jpg,2.4,1.9,2.8,1.6,2.17
319,game_1775.jpg,2.6,2.9,2.1,2.6,2.55
320,movie_0203.jpg,3.0,3.2,3.5,2.3,3.0
321,movie_0996.jpg,2.7,3.7,3.1,2.8,3.08
322,game_2192.jpg,2.7,3.2,2.7,2.8,2.85
323,game_0951.jpg,2.5,1.0,2.5,1.3,1.82
324,movie_2225.jpg,2.8,2.9,2.8,2.5,2.75
325,movie_0685.jpg,2.2,2.6,3.1,1.7,2.4
326,movie_0004.jpg,1.9,1.9,2.2,1.4,1.85
327,movie_1059.jpg,2.8,2.1,3.1,1.8,2.45
328,game_0149.jpg,2.1,1.6,2.3,1.4,1.85
329,game_0557.jpg,3.2,3.2,3.2,3.0,3.15
330,movie_1341.jpg,2.4,3.1,2.8,2.4,2.68
331,movie_2177.jpg,2.3,3.3,3.2,1.9,2.68
332,game_2485.jpg,1.2,1.7,1.7,1.8,1.6
333,movie_2997.jpg,4.5,3.6,4.5,3.5,4.03
334,movie_2307.jpg,3.0,2.9,3.7,3.1,3.18
335,game_2156.jpg,2.6,1.7,2.2,1.3,1.95
336,game_1499.jpg,2.4,1.8,1.9,1.4,1.88
337,movie_1753.jpg,2.8,2.8,3.4,2.2,2.8
338,movie_1222.jpg,3.0,2.8,2.8,2.1,2.68
339,movie_2325.jpg,2.5,2.9,2.8,2.2,2.6
340,movie_2111.jpg,2.7,2.4,2.7,1.9,2.42
341,game_0365.jpg,2.6,1.6,1.6,1.4,1.8
342,game_2743.jpg,3.3,4.1,3.8,2.9,3.52
343,movie_0285.jpg,2.3,3.4,2.8,1.4,2.48
344,game_0917.jpg,1.8,1.0,1.3,1.1,1.3
345,movie_1917.jpg,1.3,2.5,3.2,1.7,2.17
346,game_0933.jpg,2.3,2.4,2.1,2.0,2.2
347,game_2331.jpg,2.4,2.2,2.7,1.7,2.25
348,movie_2595.jpg,3.3,3.3,3.6,2.5,3.18
349,game_0584.jpg,3.2,2.6,2.7,2.2,2.68
350,movie_2113.jpg,2.7,2.2,3.1,1.9,2.48
351,movie_1234.jpg,3.3,2.9,3.6,2.1,2.97
352,game_1539.jpg,2.1,1.3,1.9,1.2,1.63
353,movie_1806.jpg,3.3,3.5,3.7,2.8,3.32
354,game_1185.jpg,2.5,2.2,2.1,1.4,2.05
355,movie_2082.jpg,3.5,3.6,3.9,2.7,3.42
356,game_1254.jpg,2.5,1.7,2.3,1.4,1.98
357,game_2662.jpg,1.2,2.3,2.3,1.9,1.92
358,game_0516.jpg,2.3,1.7,2.3,1.9,2.05
359,movie_1428.jpg,2.3,1.5,2.3,1.7,1.95
360,game_2427.jpg,1.9,2.4,2.3,1.9,2.12
361,game_1404.jpg,1.2,2.4,2.2,1.1,1.72
362,game_2861.jpg,0.6,1.3,0.8,0.8,0.88
363,movie_1688.jpg,2.6,1.4,3.4,2.1,2.38
364,movie_1857.jpg,2.5,1.9,2.9,1.8,2.28
365,movie_0618.jpg,2.6,2.3,3.3,3.5,2.92
366,movie_0710.jpg,3.0,2.7,3.3,2.7,2.92
367,movie_0462.jpg,2.8,2.7,3.3,2.2,2.75
368,game_0920.jpg,2.2,2.3,2.0,1.6,2.02
369,movie_1446.jpg,2.4,2.2,3.0,3.0,2.65
370,movie_0644.jpg,2.7,2.6,2.7,1.9,2.48
371,game_2719.jpg,3.2,2.3,3.1,1.9,2.62
372,game_1059.jpg,2.4,1.9,2.2,1.4,1.98
373,movie_2319.jpg,2.7,2.6,3.4,2.0,2.68
374,movie_0765.jpg,2.7,2.1,2.8,1.8,2.35
375,movie_1310.jpg,2.8,3.1,3.0,3.0,2.98
376,game_0685.jpg,2.7,2.3,2.8,1.9,2.42
377,movie_2243.jpg,2.8,4.0,3.4,3.1,3.32
378,movie_1710.jpg,2.7,3.1,2.7,2.8,2.82
379,game_2988.jpg,2.2,2.9,2.3,2.8,2.55
380,movie_1807.jpg,2.3,2.6,2.2,1.4,2.12
381,movie_1959.jpg,2.7,3.0,3.6,2.8,3.03
382,movie_0542.jpg,2.7,2.0,3.6,1.9,2.55
383,game_2728.jpg,4.2,4.5,3.8,3.8,4.08
384,game_2078.jpg,1.3,2.4,1.3,1.3,1.58
385,game_0463.jpg,1.7,2.3,1.8,1.6,1.85
386,movie_0099.jpg,2.1,2.0,2.0,1.9,2.0
387,game_0800.jpg,1.2,1.5,0.7,1.1,1.12
388,game_0606.jpg,3.1,3.0,3.1,2.8,3.0
389,game_1622.jpg,1.7,1.7,2.1,1.7,1.8
390,game_2643.jpg,3.0,2.8,3.3,1.7,2.7
391,movie_1363.jpg,2.4,2.6,2.7,1.7,2.35
392,movie_0127.jpg,3.2,2.6,3.8,1.4,2.75
393,game_0754.jpg,3.1,2.7,2.8,2.6,2.8
394,movie_1914.jpg,3.2,2.3,3.3,2.9,2.92
395,movie_1194.jpg,1.2,1.6,1.8,1.9,1.62
396,movie_2286.jpg,1.7,1.7,2.7,1.8,1.98
397,game_1238.jpg,2.5,1.3,1.8,1.4,1.75
398,game_2771.jpg,3.2,3.6,3.4,3.2,3.35
399,game_1275.jpg,2.2,1.9,2.1,1.2,1.85
400,game_1927.jpg,2.3,2.6,2.8,1.5,2.3
401,movie_2621.jpg,2.5,3.4,4.3,3.0,3.3
402,game_0756.jpg,2.5,2.7,3.0,2.9,2.78
403,game_0560.jpg,2.3,1.9,2.2,1.4,1.95
404,movie_0021.jpg,1.8,2.4,2.2,1.2,1.9
405,movie_1982.jpg,1.3,1.9,2.8,1.7,1.92
406,game_0335.jpg,3.2,2.7,3.2,1.8,2.73
407,movie_1779.jpg,2.2,1.6,2.2,1.4,1.85
408,game_0619.jpg,2.8,3.1,3.3,2.9,3.02
409,movie_0047.jpg,3.8,2.1,3.5,2.3,2.92
410,movie_2120.jpg,3.2,1.9,3.6,1.8,2.62
411,game_1320.jpg,1.3,3.1,2.7,1.4,2.12
412,game_0176.jpg,2.7,2.8,2.5,2.9,2.72
413,game_0593.jpg,2.7,2.9,2.2,1.8,2.4
414,game_0013.jpg,2.4,1.8,1.9,1.9,2.0
415,movie_1392.jpg,2.6,2.4,2.8,2.8,2.65
416,game_0288.jpg,1.3,1.5,2.2,1.4,1.6
417,game_2139.jpg,0.8,1.6,1.2,1.2,1.2
418,game_1882.jpg,2.6,1.3,1.8,1.5,1.8
419,movie_2817.jpg,4.4,4.1,4.3,3.8,4.15
420,movie_2802.jpg,4.3,4.2,4.4,3.3,4.05
421,movie_0702.jpg,3.2,3.5,3.3,3.0,3.25
422,game_2508.jpg,2.6,2.3,1.3,1.7,1.98
423,game_0955.jpg,2.6,2.8,1.9,2.3,2.4
424,movie_2791.jpg,4.6,4.3,4.2,3.8,4.22
425,game_1892.jpg,2.3,1.9,2.7,1.7,2.15
426,movie_0376.jpg,2.7,3.0,3.3,2.2,2.8
427,game_2422.jpg,2.9,1.8,1.9,1.8,2.1
428,movie_1183.jpg,3.2,2.4,2.3,1.5,2.35
429,movie_1808.jpg,2.8,2.2,2.7,1.9,2.4
430,movie_0229.jpg,3.4,1.9,3.1,1.8,2.55
431,game_2369.jpg,1.8,1.4,1.1,1.4,1.43
432,game_1817.jpg,1.8,2.1,1.7,1.2,1.7
433,game_2884.jpg,1.9,1.7,2.7,1.8,2.02
434,movie_1837.jpg,3.3,2.3,3.3,2.9,2.95
435,movie_0067.jpg,2.8,2.7,2.1,1.7,2.32
436,game_1645.jpg,1.7,1.8,1.7,1.4,1.65
437,game_2045.jpg,3.0,3.5,2.3,2.8,2.9
438,game_2283.jpg,3.0,2.9,2.7,2.9,2.88
439,movie_1238.jpg,3.6,2.8,3.4,2.7,3.12
440,game_0995.jpg,2.5,2.3,2.7,2.1,2.4
441,movie_0750.jpg,2.2,2.1,2.1,1.9,2.08
